STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,,PRCP1,months
IN023320100,13-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,14-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,15-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,46,1
IN023320100,16-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,17-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,231,1
IN023320100,18-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,19-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,20-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,21-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,22-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,5,1
IN023320100,23-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,24-03-1901,26.47,80.35,185,"KANPUR, IN",10,",,I",,0,1
IN023320100,25-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,26-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,27-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,28-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,29-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,46,1
IN023320100,30-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,31-03-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,01-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,02-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,03-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,04-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,25,1
IN023320100,05-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,06-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,07-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,08-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,09-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,56,1
IN023320100,10-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,11-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,12-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,13-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,14-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,15-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,16-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,17-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,18-04-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,157,1
